anio,nm_recurso,nm_linea,clase_industria,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion
2024,ANCHOVETA,CONGELADO,HUMANO,673.941,0,673.941,5.179
2024,ANCHOVETA,CONSERVA,HUMANO,0.0,0,0.0,10.503
2024,ANCHOVETA,HARINA,ANIMAL,299475.997,0,299475.997,63490.995
2024,JUREL,ACEITE,ANIMAL,0.0,0,0.0,29645.635
2024,JUREL,CONGELADO,HUMANO,405353.471,0,405353.471,392964.416
2024,JUREL,CONSERVA,HUMANO,84333.816,0,84333.816,32068.114
2024,JUREL,FRESCO ENFRIADO,HUMANO,5161.951,0,5161.951,5178.303
2024,JUREL,HARINA,ANIMAL,583652.958,0,583652.958,157459.758
2024,SARDINA COMUN,ACEITE,ANIMAL,0.0,0,0.0,7551.069
2024,SARDINA COMUN,CONGELADO,HUMANO,1037.126,0,1037.126,4.741
2024,SARDINA COMUN,FRESCO ENFRIADO,HUMANO,2.482,0,2.482,2.482
2024,SARDINA COMUN,HARINA,ANIMAL,128055.87,0,128055.87,26019.884000000002
2024,SARDINA ESPAÑOLA,ACEITE,ANIMAL,0.0,0,0.0,282.39
2024,SARDINA ESPAÑOLA,HARINA,ANIMAL,9722.988,0,9722.988,2299.332
