domain,year,n_months_sst,sst,n_months_chl,chl,SST_c,logCHL_c
norte_chile_eez,2018,12,17.72046027921824,12,0.4873268629644464,-0.2853841218430908,0.10989161639532141
norte_chile_eez,2019,12,18.008761002371873,12,0.43889191227585045,0.002916601310541722,0.005209711197594724
norte_chile_eez,2020,12,18.116461918425177,12,0.4123750530872976,0.11061751736384551,-0.0571101997831851
norte_chile_eez,2021,12,17.877470718103535,12,0.4544959279731212,-0.12837368295779683,0.04014549615491736
norte_chile_eez,2022,12,17.657196602099262,12,0.4793711700200052,-0.34864779896206954,0.09343172449417159
norte_chile_eez,2023,12,19.112683908966524,12,0.3562977103668356,1.1068395079051925,-0.2032768116148168
norte_chile_eez,2024,12,18.327753809074565,12,0.28290198311369996,0.32190940801323364,-0.43394296983854297
offshore_ext,2000,12,15.08122239201979,12,0.3901179120049151,-0.49819050297281287,-0.05675161403318396
offshore_ext,2001,12,15.405083858616623,12,0.39608355327450173,-0.17432903637597974,-0.041575463819959024
offshore_ext,2002,12,15.313935194443557,12,0.36793425309082306,-0.2654777005490452,-0.11529638380791818
offshore_ext,2003,12,15.640976982140646,12,0.4364098647952018,0.06156408714804407,0.05538121270606966
offshore_ext,2004,12,15.517278542252523,12,0.4278568070045513,-0.06213435274007928,0.035587930593656725
offshore_ext,2005,12,15.512417103896059,12,0.46658649936880126,-0.0669957910965433,0.12224277917534676
offshore_ext,2006,12,15.724354563249312,12,0.4165567746312398,0.14494166825670973,0.008822120021518165
offshore_ext,2007,12,15.010405200994363,12,0.4182559653342835,-0.5690076939982394,0.012892956433656289
offshore_ext,2008,12,15.976688509572835,12,0.4041072479406497,0.39727561458023253,-0.021520338004824113
offshore_ext,2009,12,15.87206774427018,12,0.41794953678704816,0.2926548492775769,0.01216005391107211
offshore_ext,2010,12,15.110878221752209,12,0.44884748488327475,-0.4685346732403932,0.08348250678279434
offshore_ext,2011,12,15.347297886268448,12,0.46905703707588053,-0.23211500872415414,0.12752372935020384
offshore_ext,2012,12,15.733639097525622,12,0.3902448345216645,0.15422620253301922,-0.05642632295942751
offshore_ext,2013,12,15.611402185172718,12,0.4291362934956844,0.03198929018011576,0.03857392299210327
offshore_ext,2014,12,15.491413456203315,12,0.4172522360366342,-0.08799943878928751,0.010490275576976904
offshore_ext,2015,12,15.876243119835246,12,0.4508441834951558,0.296830224842644,0.0879211427293517
offshore_ext,2016,12,16.04863342222023,12,0.3982916369865974,0.46922052722762864,-0.03601615273856562
offshore_ext,2017,12,15.883820958151185,12,0.3610761125158283,0.3044080631585828,-0.134111871832292
offshore_ext,2018,12,15.67181782259134,12,0.40685830109266846,0.09240492759873753,-0.014735675676694537
offshore_ext,2019,12,15.384623469693064,12,0.38579869933496425,-0.1947894252995379,-0.06788491681535447
offshore_ext,2020,12,15.662540322797195,12,0.4490560363050216,0.08312742780459281,0.08394703648019686
offshore_ext,2021,12,15.744963608754109,12,0.4339703197624411,0.16555071376150643,0.04977549818176752
offshore_ext,2022,12,15.526837485786345,12,0.3775114700078538,-0.05257540920625736,-0.08959969358169473
offshore_ext,2023,12,15.882061758057072,12,0.40619810838345966,0.30264886306446925,-0.01635965366053027
offshore_ext,2024,12,15.454719468551056,12,0.3817162638889806,-0.1246934264415458,-0.07852307800426983
se_pacific,2000,12,16.70289578736465,12,0.22764829503786357,-0.32308518841167455,-0.12477051607739731
se_pacific,2001,12,16.885518243578073,12,0.22883971005021633,-0.14046273219825167,-0.11955058607115254
se_pacific,2002,12,16.811484205927318,12,0.2316776558777714,-0.21449676984900634,-0.10722539721387325
se_pacific,2003,12,17.074727211774828,12,0.27890569550938493,0.048746235998503806,0.0783013273273887
se_pacific,2004,12,16.932128879178592,12,0.2675444555091666,-0.09385209659773253,0.036713352918395614
se_pacific,2005,12,17.048556379272085,12,0.28653954061711145,0.022575403495761037,0.10530415082795086
se_pacific,2006,12,17.246635831305294,12,0.25781735957025104,0.22065485552897002,-3.209628356068972e-4
se_pacific,2007,12,16.55603434615697,12,0.258549794084942,-0.4699466296193542,0.002515913990185581
se_pacific,2008,12,17.368645217843692,12,0.2683208912475034,0.342664242067368,0.03961123122454935
se_pacific,2009,12,17.30759557674271,12,0.2607570993495784,0.28161460096638535,0.01101693173336149
se_pacific,2010,12,16.465751284283407,12,0.28192900964519224,-0.5602296914929177,0.08908291197058715
se_pacific,2011,12,16.678989152930356,12,0.3020968934167791,-0.3469918228459683,0.1581754166162621
se_pacific,2012,12,17.213606559264658,12,0.2532987687695315,0.1876255834883338,-0.018002692193176184
se_pacific,2013,12,17.0084919048062,12,0.27690209864500304,-0.017489070970125198,0.07109162079092513
se_pacific,2014,12,16.86957690175109,12,0.27894007237152996,-0.15640407402523593,0.07842457595332752
se_pacific,2015,12,17.270833306761798,12,0.2843953689901391,0.24485233098547354,0.09779302592903183
se_pacific,2016,12,17.633320758259963,12,0.2591746666906284,0.6073397824836384,0.004929834739376027
se_pacific,2017,12,17.302824761635183,12,0.22764079191404635,0.2768437858588584,-0.12480347590021279
se_pacific,2018,12,16.988570852058427,12,0.25515211476561983,-0.03741012371789765,-0.010712492630490456
se_pacific,2019,12,16.87780932223769,12,0.24928743860915037,-0.1481716535386326,-0.0339657858150928
se_pacific,2020,12,17.019706044135738,12,0.2747656252004904,-0.006274931640586345,0.06334607384894086
se_pacific,2021,12,17.013233193526208,12,0.2649317283569291,-0.012747782250116302,0.02689977552328604
se_pacific,2022,12,16.835293210714905,12,0.2446446024132758,-0.19068776506141916,-0.05276583342145136
se_pacific,2023,12,17.53677209027317,12,0.2342661541964684,0.5107911144968469,-0.09611450833735535
se_pacific,2024,12,17.00052337262512,12,0.21650172076807342,-0.025457603151203045,-0.17497389289775822
