anio,nui,nm_unidad,rg,trim,mes,cd_recurso,nm_recurso,nm_grupo,cd_linea,nm_linea,tipo_mp,mp_sin_elaborar,mp_semi_elaborada,mp_total,produccion,clase_industria
2017,90204,PLANTA,15,1,2,205,ANCHOVETA,PECES,L9,HARINA,1,21261.0,0,21261.0,4622.0,ANIMAL
2023,13476,PLANTA,8,2,5,234,JUREL,PECES,L9,HARINA,1,15996.909,0,15996.909,4592.633,ANIMAL
2019,90157,PLANTA,1,2,6,205,ANCHOVETA,PECES,L9,HARINA,1,21765.69,0,21765.69,4583.380000000002,ANIMAL
2014,90157,PLANTA,1,4,12,205,ANCHOVETA,PECES,L9,HARINA,1,21600.48,0,21600.48,4577.792469999999,ANIMAL
2024,14815,PLANTA,8,1,2,234,JUREL,PECES,L8,CONSERVA,1,10813.083,0,10813.083,4573.377,HUMANO
2024,14815,PLANTA,8,1,3,234,JUREL,PECES,L8,CONSERVA,1,12072.864,0,12072.864,4568.182,HUMANO
2020,15232,PLANTA,2,2,4,205,ANCHOVETA,PECES,L9,HARINA,1,20084.765000000003,0,20084.765000000003,4555.061,ANIMAL
2024,4366,PLANTA,8,2,6,234,JUREL,PECES,L3,CONGELADO,1,4638.64,0,4638.64,4554.82,HUMANO
2016,90073,PLANTA,8,1,1,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,4545.0,0,4545.0,4545.0,HUMANO
2024,4154,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,4685.65,0,4685.65,4544.165,HUMANO
2014,90071,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,4696.3550000000005,0,4696.3550000000005,4537.409999999999,HUMANO
2018,90204,PLANTA,15,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,19602.399000000012,0,19602.399000000012,4533.542,ANIMAL
2017,90073,PLANTA,8,2,4,234,JUREL,PECES,L2,FRESCO ENFRIADO,1,4530.0,0,4530.0,4530.0,HUMANO
2013,90204,PLANTA,15,1,1,205,ANCHOVETA,PECES,L9,HARINA,1,19369.535,0,19369.535,4515.41,ANIMAL
2015,4366,PLANTA,8,3,7,234,JUREL,PECES,L3,CONGELADO,1,4622.449,0,4622.449,4511.42,HUMANO
2013,90205,PLANTA,15,3,7,205,ANCHOVETA,PECES,L9,HARINA,1,20469.29,0,20469.29,4503.75867,ANIMAL
2020,90071,PLANTA,8,1,1,234,JUREL,PECES,L3,CONGELADO,1,4780.815999999997,0,4780.815999999997,4499.0,HUMANO
2012,90158,PLANTA,1,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,20414.0,0,20414.0,4497.0,ANIMAL
2024,4154,PLANTA,8,2,5,234,JUREL,PECES,L3,CONGELADO,1,4840.04,0,4840.04,4494.68,HUMANO
2018,90204,PLANTA,15,4,10,205,ANCHOVETA,PECES,L9,HARINA,1,20424.796000000002,0,20424.796000000002,4488.297,ANIMAL
2020,90071,PLANTA,8,1,3,234,JUREL,PECES,L3,CONGELADO,1,4724.534000000001,0,4724.534000000001,4477.5,HUMANO
2021,14815,PLANTA,8,1,3,276,SARDINA COMUN,PECES,L9,HARINA,1,24548.23,0,24548.23,4469.768000000001,ANIMAL
2018,18478,PLANTA,1,4,11,205,ANCHOVETA,PECES,L9,HARINA,1,17928.769,0,17928.769,4466.974,ANIMAL
2016,90071,PLANTA,8,1,1,234,JUREL,PECES,L8,CONSERVA,1,4464.0,0,4464.0,4466.0,HUMANO
2014,90071,PLANTA,8,2,4,234,JUREL,PECES,L3,CONGELADO,1,5048.888389,0,5048.888389,4463.28,HUMANO
2012,18478,PLANTA,1,3,8,205,ANCHOVETA,PECES,L9,HARINA,1,18620.0,0,18620.0,4462.0,ANIMAL
